0,85
1,59
2,35
3,51
4,58
5,51
6,119
7,32
8,78
9,63
10,83
11,52
12,28
13,147
14,41
15,97
16,65
17,81
18,40
19,64
20,40
21,47
22,43
23,45
24,19
25,67
26,55
27,128
28,92
29,50
30,73
31,68
32,36
33,73
34,46
35,76
36,67
37,51
38,106
39,46
40,42
41,87
42,132
43,263
44,63
45,60
46,74
47,28
48,62
49,79
50,73
51,124
52,48
53,152
54,50
55,68
56,17
57,62
58,26
59,48
60,79
61,317
62,31
63,256
64,37
65,94
66,43
67,25
68,98
69,35
70,22
71,32
72,72
73,40
74,138
75,19
76,15
77,209
78,24
79,85
80,23
81,34
82,33
83,84
84,36
85,30
86,261
87,41
88,29
89,52
90,31
91,37
92,44
93,31
94,22
95,17
96,25
97,21
98,26
99,17
